timestamp,value
1218326400000,12459
1218931200000,17398
1219536000000,18807
1220140800000,18048
1220745600000,20453
1221350400000,19359
1221955200000,6573
1222560000000,12164
1223164800000,12269
1223769600000,13266
1224374400000,19528
1224979200000,17792
1225584000000,10972
1226188800000,15336
1226793600000,18372
1227398400000,22175
1228003200000,22561
1228608000000,19095
1229212800000,1765
1229817600000,-2935
1230422400000,-3814
1231027200000,-2543
1231632000000,-244
1232236800000,2857
1232841600000,8399
1233446400000,8386
1234051200000,12544
1234656000000,13722
1235260800000,14334
1235865600000,18026
1236470400000,12383
1237075200000,14019
1237680000000,1458
1238284800000,828
1238889600000,2902
1239494400000,6871
1240099200000,19052
1240704000000,11191
1241308800000,3526
1241913600000,-4247
1242518400000,-8551
1243123200000,-11949
1243728000000,-15246
1244332800000,-15089
1244937600000,-13850
1245542400000,-23093
1246147200000,-16018
1246752000000,-17773
1247356800000,-15645
1247961600000,-23032
1248566400000,-22114
1249171200000,-25627
1249776000000,-6687
1250380800000,-12573
1250985600000,-28030
1251590400000,-24363
1252195200000,-30609
1252800000000,-31760
1253404800000,-37877
1254009600000,-30915
1254614400000,-35403
1255219200000,-35061
1255824000000,-37716
1256428800000,-29493
1257033600000,-28396
1257638400000,-36245
1258243200000,-31956
1258848000000,-32707
1259452800000,-37855
1260057600000,-17927
1260662400000,-3891
1261267200000,4809
1261872000000,9564
1262476800000,1905
1263081600000,-18080
1263686400000,-19653
1264291200000,-4312
1264896000000,5035
1265500800000,12214
1266105600000,7226
1266710400000,13578
1267315200000,9952
1267920000000,7551
1268524800000,4084
1269129600000,-1902
1269734400000,6668
1270339200000,3477
1270944000000,5312
1271548800000,5559
1272153600000,17869
1272758400000,22651
1273363200000,27482
1273968000000,23750
1274572800000,21632
1275177600000,25677
1275782400000,20116
1276387200000,23460
1276992000000,17733
1277596800000,18682
1278201600000,5110
1278806400000,-19318
1279411200000,-21006
1280016000000,-13390
1280620800000,-23275
1281225600000,-13973
1281830400000,-17292
1282435200000,-20435
1283040000000,-22992
1283644800000,-27447
1284249600000,-25200
1284854400000,-25657
1285459200000,-30228
1286064000000,-33169
1286668800000,-29852
1287273600000,-21233
1287878400000,-21551
1288483200000,-20540
1289088000000,-19908
1289692800000,-14221
1290297600000,-13401
1290902400000,-13396
1291507200000,-14875
1292112000000,-16351
1292716800000,-19908
1293321600000,-25021
1293926400000,-25772
1294531200000,-21512
1295136000000,-18072
1295740800000,-15882
1296345600000,-21719
1296950400000,-21517
1297555200000,-17059
1298160000000,-18403
1298764800000,-32915
1299369600000,-41347
1299974400000,-42387
1300579200000,-39194
1301184000000,-35582
1301788800000,-27940
1302393600000,-33223
1302998400000,-37034
1303603200000,-35743
1304208000000,-36286
1304812800000,-33273
1305417600000,-33992
1306022400000,-28263
1306627200000,-33121
1307232000000,-29746
1307836800000,-27980
1308441600000,-24958
1309046400000,-23279
1309651200000,-18077
1310256000000,-21944
1310860800000,-24831
1311465600000,-21607
1312070400000,-19431
1312675200000,-11573
1313280000000,-16906
1313884800000,-17594
1314489600000,-16752
1315094400000,-13918
1315699200000,-9529
1316304000000,-6332
1316908800000,-720
1317513600000,3427
1318118400000,2403
1318723200000,5960
1319328000000,3807
1319932800000,467
1320537600000,-1466
1321142400000,6095
1321747200000,10341
1322352000000,16563
1322956800000,20852
1323561600000,24245
1324166400000,12627
1324771200000,22117
1325376000000,22720
1325980800000,26491
1326585600000,24832
1327190400000,19470
1327795200000,14935
1328400000000,15653
1329004800000,21223
1329609600000,22801
1330214400000,18636
1330819200000,23441
1331424000000,23045
1332028800000,18059
1332633600000,16684
1333238400000,14900
1333843200000,17206
1334448000000,21147
1335052800000,19285
